Age,Gender,ssc_p,hsc_p,deg_p,yr_gap,degree,Stream,interest,placed,pkg,j_type,coaching,textbook,ref_book,internet,ds,algo,dbms,os,oop,cn,code_prac,code_hrs,comp_prog,gfg,hrank,hearth,code_ques,rank,internship,intern_type,no_course
21,Female,86,73.86,56,0,be,comp,3,N,,N,N,1,0,0,2,2,2,2,3,3,N,1,N,0,1,0,3,N,N,N,0
21,Female,90,74.6,77.8,0,be,comp,5,Y,3.8,Technical,N,1,0,1,4,3,3,2,4,2,Y,1,Y,1,0,0,100,N,N,NT,0
22,Female,89.4,75.50,76,0,be,it,4,N,,N,N,0,0,1,4,3,4,4,3,4,Y,1,N,1,0,0,0,N,N,N,0
22,Female,92,85.43,83,0,be,comp,4,Y,3.5,Technical,N,1,0,1,3,3,3,3,3,3,Y,5,Y,0,1,0,10,N,Y,T,2
22,Female,86,72,78,0,be,comp,3,Y,3.5,Technical,Y,1,0,1,4,4,3,3,5,4,N,1,N,0,1,1,70,N,Y,T,1
22,Female,87.4,69,69,0,be,comp,4,N,,N,N,0,0,1,3,3,4,3,4,3,Y,2,N,0,1,0,30,N,Y,N,0
22,Female,84,67,74.7,0,be,comp,4,Y,4.41,Technical,N,1,1,1,4,3,4,3,5,3,Y,2,N,0,1,0,0,N,N,T,0
22,Female,95,88,77,0,be,it,3,Y,5,Technical,N,1,1,1,4,4,5,3,5,3,Y,1,Y,0,1,0,50,N,Y,T,0
22,Female,89,93.2,85,0,be,it,3,Y,4.0,Technical,N,1,1,1,3,3,4,2,4,2,N,1,N,0,1,1,15,N,N,N,0
21,Male,90.6,70.77,73.30,0,be,comp,5,Y,3.5,Technical,N,1,0,1,4,4,4,4,4,4,Y,5,Y,0,1,1,50,N,N,T,0
22,Female,88.8,91.5,72.60,0,be,comp,5,Y,3.36,N,N,1,0,0,5,5,5,5,5,5,Y,1,Y,0,1,0,50,N,Y,T,0
21,Female,89.8,81.08,73.83,0,be,comp,3,Y,,N,N,0,0,0,3,2,4,3,4,3,Y,1,N,0,1,0,20,N,N,NT,0
